Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
07-APR-2021,20.84,21.2975,19.43,20.2475,20.84,-0.59,-2.84
08-APR-2021,20.2475,20.585,19.17,20.3125,20.2475,0.07,0.32
09-APR-2021,20.3125,20.9675,19.6825,19.785,20.3125,-0.53,-2.60
12-APR-2021,19.785,23.3025,19.785,22.995,19.785,3.21,16.22
13-APR-2021,22.995,22.995,20.2975,20.46,22.995,-2.54,-11.02
15-APR-2021,20.46,21.545,18.245,20.89,20.46,0.43,2.10
16-APR-2021,20.89,21.09,19.4825,20.4025,20.89,-0.49,-2.33
19-APR-2021,20.4025,23.1075,19.8075,22.485,20.4025,2.08,10.21
20-APR-2021,22.485,22.745,21.2375,22.425,22.485,-0.06,-0.27
22-APR-2021,22.425,23.6075,22.425,23.025,22.425,0.60,2.68
23-APR-2021,23.025,23.0525,20.21,22.69,23.025,-0.33,-1.45
26-APR-2021,22.69,23.555,22.6175,23.495,22.69,0.80,3.55
27-APR-2021,23.495,23.625,22.32,23.0825,23.495,-0.41,-1.76
28-APR-2021,23.0825,23.1125,20.9675,22.58,23.0825,-0.50,-2.18
29-APR-2021,22.58,23.4225,22.1075,23.305,22.58,0.73,3.21
30-APR-2021,23.305,23.765,22.5975,23.0275,23.305,-0.28,-1.19
03-MAY-2021,23.0275,24.54,21.84,23.6925,23.0275,0.66,2.89
04-MAY-2021,23.6925,23.6925,22.1775,23.01,23.6925,-0.68,-2.88
05-MAY-2021,23.01,23.19,21.135,21.9625,23.01,-1.05,-4.55
06-MAY-2021,21.9625,22.6125,20.1225,22.035,21.9625,0.07,0.33
07-MAY-2021,22.035,22.035,20.31,20.8225,22.035,-1.21,-5.50
10-MAY-2021,20.8225,21.1475,20.135,20.225,20.8225,-0.60,-2.87
11-MAY-2021,20.225,21.1175,19.7225,19.83,20.225,-0.40,-1.95
12-MAY-2021,19.83,20.905,18.36,20.08,19.83,0.25,1.26
14-MAY-2021,20.08,21.1525,18.2275,20.2675,20.08,0.19,0.93
17-MAY-2021,20.2675,20.425,18.3625,19.6075,20.2675,-0.66,-3.26
18-MAY-2021,19.6075,19.6075,18.305,19.24,19.6075,-0.37,-1.87
19-MAY-2021,19.24,19.5675,17.23,19.3175,19.24,0.08,0.40
20-MAY-2021,19.3175,19.8375,18.0925,19.6525,19.3175,0.34,1.73
21-MAY-2021,19.6525,19.6525,17.13,19.08,19.6525,-0.57,-2.91
24-MAY-2021,19.08,19.885,18.72,19.13,19.08,0.05,0.26
25-MAY-2021,19.13,21.05,17.6875,18.8425,19.13,-0.29,-1.50
26-MAY-2021,18.8425,21.3025,17.23,20.8725,18.8425,2.03,10.77
27-MAY-2021,20.8725,21.3225,18.3525,19.91,20.8725,-0.96,-4.61
28-MAY-2021,19.91,19.91,17.355,17.4025,19.91,-2.51,-12.59
31-MAY-2021,17.4025,17.99,16.4325,16.885,17.4025,-0.52,-2.97
01-JUN-2021,16.885,17.9625,15.31,17.3875,16.885,0.50,2.98
02-JUN-2021,17.3875,17.6475,15.1675,17.21,17.3875,-0.18,-1.02
03-JUN-2021,17.21,17.21,14.1475,15.745,17.21,-1.47,-8.51
04-JUN-2021,15.745,16.3825,14.9425,15.94,15.745,0.20,1.24
07-JUN-2021,15.94,15.94,14.7425,15.5675,15.94,-0.37,-2.34
08-JUN-2021,15.5675,15.6,13.5675,15.225,15.5675,-0.34,-2.20
09-JUN-2021,15.225,15.7425,11.945,14.7525,15.225,-0.47,-3.10
10-JUN-2021,14.7525,15.2,14.1775,15.0025,14.7525,0.25,1.69
11-JUN-2021,15.0025,15.0025,13.9375,14.1025,15.0025,-0.90,-6.00
